budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
170000000,Walt Disney Pictures,USA,Joseph Kosinski,Action,172062763,TRON: Legacy,PG,17/12/2010,100,6.8,Jeff Bridges,278124,Edward Kitsis,2010
26000000,Bold Films,USA,Scott Stewart,Action,40168080,Legion,R,22/1/2010,100,5.2,Paul Bettany,85724,Peter Schink,2010
200000000,Walt Disney Pictures,USA,Tim Burton,Adventure,334191110,Alice in Wonderland,PG,5/3/2010,108,6.5,Mia Wasikowska,331389,Linda Woolverton,2010
38000000,Paramount Pictures,USA,Ethan Coen,Adventure,171243005,True Grit,PG-13,22/12/2010,110,7.6,Jeff Bridges,259855,Joel Coen,2010
35000000,New Line Cinema,USA,Samuel Bayer,Horror,63075011,A Nightmare on Elm Street,R,30/4/2010,95,5.2,Jackie Earle Haley,79930,Wesley Strick,2010
58000000,Summit Entertainment,USA,Robert Schwentke,Action,90380162,RED,PG-13,15/10/2010,111,7.1,Bruce Willis,254554,Jon Hoeber,2010
80000000,Alcon Entertainment,USA,Albert Hughes,Action,94835059,The Book of Eli,R,15/1/2010,118,6.9,Denzel Washington,246433,Gary Whitta,2010
100000000,New Line Cinema,USA,Michael Patrick King,Comedy,95347692,Sex and the City 2,R,27/5/2010,146,4.4,Sarah Jessica Parker,63699,Michael Patrick King,2010
110000000,Twentieth Century Fox Film Corporation,USA,Joe Carnahan,Action,77222099,The A-Team,PG-13,11/6/2010,117,6.8,Liam Neeson,222505,Joe Carnahan,2010
117000000,Twentieth Century Fox Film Corporation,USA,James Mangold,Action,76423035,Knight and Day,PG-13,23/6/2010,109,6.3,Tom Cruise,157815,Patrick O'Neill,2010
200000000,Walt Disney Pictures,USA,Lee Unkrich,Animation,415004880,Toy Story 3,G,18/6/2010,103,8.3,Tom Hanks,603472,John Lasseter,2010
3500000,Incentive Filmed Entertainment,USA,Derek Cianfrance,Drama,9737892,Blue Valentine,R,28/1/2011,112,7.4,Ryan Gosling,154714,Derek Cianfrance,2010
2000000,Cinetel Films,USA,Steven R. Monroe,Crime,93051,I Spit on Your Grave,R,4/3/2011,108,6.3,Sarah Butler,61717,Adam Rockoff,2010
165000000,DreamWorks Animation,USA,Dean DeBlois,Animation,217581231,How to Train Your Dragon,PG,26/3/2010,98,8.1,Jay Baruchel,538360,William Davies,2010
16000000,Summit Entertainment,USA,Allen Coulter,Drama,19068240,Remember Me,PG-13,12/3/2010,113,7.2,Robert Pattinson,121432,Will Fetters,2010
200000000,Walt Disney Pictures,USA,Mike Newell,Action,90759676,Prince of Persia: The Sands of Time,PG-13,28/5/2010,116,6.6,Jake Gyllenhaal,237542,Boaz Yakin,2010
0,Scott Rudin Productions,USA,Noah Baumbach,Comedy,4216789,Greenberg,R,26/3/2010,107,6.1,Ben Stiller,31477,Jennifer Jason Leigh,2010
25000000,Closest to the Hole Productions,USA,David O. Russell,Biography,93617009,The Fighter,R,17/12/2010,116,7.8,Mark Wahlberg,294996,Scott Silver,2010
15000000,DNA Films,UK,Mark Romanek,Drama,2434652,Never Let Me Go,R,15/10/2010,103,7.2,Keira Knightley,118784,Kazuo Ishiguro,2010
80000000,Columbia Pictures,USA,Dennis Dugan,Comedy,162001186,Grown Ups,PG-13,25/6/2010,102,6,Adam Sandler,194404,Adam Sandler,2010
35000000,Universal Pictures,UK,Susanna White,Comedy,29197642,Nanny McPhee Returns,PG,20/8/2010,109,6.1,Emma Thompson,21695,Emma Thompson,2010
20000000,Twisted Pictures,Canada,Kevin Greutert,Horror,45710178,Saw 3D: The Final Chapter,R,29/10/2010,90,5.6,Tobin Bell,74021,Patrick Melton,2010
0,Reliance Big Pictures,Canada,Eli Craig,Comedy,223838,Tucker and Dale vs Evil,R,9/12/2010,89,7.6,Tyler Labine,140517,Eli Craig,2010
200000000,Universal Pictures,USA,Ridley Scott,Action,105269730,Robin Hood,PG-13,14/5/2010,140,6.7,Russell Crowe,224548,Brian Helgeland,2010
110000000,Columbia Pictures,USA,Phillip Noyce,Action,118311368,Salt,PG-13,23/7/2010,100,6.4,Angelina Jolie,259831,Kurt Wimmer,2010
80000000,Millennium Films,USA,Sylvester Stallone,Action,103068524,The Expendables,R,13/8/2010,103,6.5,Sylvester Stallone,288429,Dave Callaham,2010
150000000,Paramount Pictures,USA,M. Night Shyamalan,Action,131564731,The Last Airbender,PG,1/7/2010,103,4.2,Noah Ringer,127467,M. Night Shyamalan,2010
38000000,Josephson Entertainment,USA,Greg Berlanti,Comedy,53374681,Life as We Know It,PG-13,8/10/2010,100,6.6,Katherine Heigl,103763,Ian Deitchman,2010
55000000,Twentieth Century Fox Film Corporation,USA,Shawn Levy,Comedy,98711404,Date Night,PG-13,9/4/2010,88,6.3,Steve Carell,135458,Josh Klausner,2010
55000000,Screen Gems,USA,Steve Antin,Drama,39440655,Burlesque,PG-13,24/11/2010,119,6.4,Cher,65689,Steve Antin,2010
18000000,PathÈ,USA,Danny Boyle,Adventure,18335230,127 Hours,R,28/1/2011,94,7.6,James Franco,299503,Danny Boyle,2010
40000000,Twentieth Century Fox Film Corporation,USA,NimrÛd Antal,Action,52000688,Predators,R,9/7/2010,107,6.4,Adrien Brody,182863,Alex Litvak,2010
35000000,Lionsgate,USA,Paul Haggis,Crime,21148651,The Next Three Days,PG-13,19/11/2010,133,7.4,Russell Crowe,155358,Paul Haggis,2010
